"dev_os","OS Version","temp","title","cam_vert","comp_bar","Roll","pos_tech","pos_acc","Make and Model","press","Pitch","editor","Azimuth","timestamp","cam_hoz","pos_sat","id","Name","Where is the bog","Take photo","What plants can you see","Grid reference of location","Is the bog wet or dry","If other describe what is","geom"
"","5.0.2","","OBT bogs survey","","","5.800217560629162","","-1","MOTOROLA XT1068","","-20.783592870715555","54fad7bd-247c-464c-8a01-fb24e6577028.json","-31.738519620120666","2015-07-15T16:14:38.579Z","","","_axqq346ms","Simpson (25)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Simpson (25)/1436976842938.jpg'>","Common Rush","Placeholder","Wet",,"-4.03896599999997,52.6789049999998"
"","5.0.2","","OBT bogs survey","","","34.46728947656748","","-1","MOTOROLA XT1068","","-52.57033021128193","54fad7bd-247c-464c-8a01-fb24e6577028.json","-113.11866288259725","2015-06-23T18:27:34.873Z","","","_stlnc7cee","Simpson (20)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Simpson (20)/1435083937183.jpg'>","Star moss","Placeholder","Dry",,"-3.8890915999999787,52.63269509999981"
"","4.4.4","","OBT bogs survey","","","-10.42205929602281","","-1","MOTOROLA XT1068","","-31.26408101999324","54fad7bd-247c-464c-8a01-fb24e6577028.json","-80.94953057115855","2015-05-07T08:48:27.269Z","","","_lcuyni4re","noa (1)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/noa (1)/1430988494792.jpg'>","Sphagnum moss,Other","793133","Wet","Na","-3.7870655499999972,52.70444204000009"
"","5.0.2","","OBT bogs survey","","","14.743562672572192","","-1","MOTOROLA XT1068","","-37.263913847323785","54fad7bd-247c-464c-8a01-fb24e6577028.json","-39.15184643580701","2015-05-30T10:19:47.225Z","","","_ppa4d18hp","obt (22)","Valley","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/obt (22)/1432981164790.jpg'>","Star moss","680964","Wet",,"-3.944994499999985,52.54965330000011"
"","5.0.2","","OBT bogs survey","","","17.391866070407087","","-1","MOTOROLA XT1068","","-25.86832207568967","54fad7bd-247c-464c-8a01-fb24e6577028.json","20.724182177767492","2015-06-23T18:31:48.225Z","","","_9a2befy3t","Simpson (7)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Simpson (7)/1435084300369.jpg'>","Other","Placeholder","Dry",,"-3.8891708999999604,52.6326568999998"
"","5.0.2","","OBT bogs survey","","","-1.8758288529437273","","-1","MOTOROLA XT1068","","-22.092031719447387","54fad7bd-247c-464c-8a01-fb24e6577028.json","-150.84954993328563","2015-06-21T14:32:41.120Z","","","_272e6od7y","outward bound (1)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/outward bound (1)/1434897151087.jpg'>","Other","Placeholder","Wet",,"-3.9976312000000243,53.11488330000015"
"","4.4.4","","OBT bogs survey","","","17.023165628820628","","-1","MOTOROLA XT1068","","-37.243085185449836","54fad7bd-247c-464c-8a01-fb24e6577028.json","-129.7513824550614","2015-05-07T08:44:48.581Z","","","_tk6f9tw0z","noa (3)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/noa (3)/1430988192679.jpg'>","Star moss,Sphagnum moss,Other","793133","Wet","Na","-3.7866522200000357,52.704517979999764"
"","4.4.4","","OBT bogs survey","","","-2.5972035510028553","","-1","MOTOROLA XT1068","","-22.18701574514017","54fad7bd-247c-464c-8a01-fb24e6577028.json","8.226065539178148","2015-05-07T08:43:50.244Z","","","_2i6km72pq","now hillary","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/now hillary/1430988154634.jpg'>",,"173133","Wet","NA","-3.78661639000003,52.70431233999994"
"","5.0.2","","OBT bogs survey","","","4.076548033476982","","-1","MOTOROLA XT1068","","-20.68960776018889","54fad7bd-247c-464c-8a01-fb24e6577028.json","-8.95317247349821","2015-06-23T11:51:59.056Z","","","_oh6kv7pkk","Simpson (16)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Simpson (16)/1435060303029.jpg'>","Common Rush","Placeholder","Dry",,"-3.936086799999992,52.616392099999885"
"","5.0.2","","OBT bogs survey","","","11.267301182227413","","-1","MOTOROLA XT1068","","-13.852983698204337","54fad7bd-247c-464c-8a01-fb24e6577028.json","38.81196597742342","2015-06-18T10:05:10.248Z","","","_zqy2algra","MacArthur (5)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/MacArthur (5)/1434621897128.jpg'>","Star moss","Placeholder","Dry",,"-2.4219759999999915,53.825563999999815"
"","5.0.2","","OBT bogs survey","","","13.733574062265944","","-1","MOTOROLA XT1068","","-27.105260796642515","54fad7bd-247c-464c-8a01-fb24e6577028.json","-144.73791032433655","2015-06-21T13:07:48.364Z","","","_hfyhas2nr","ob (2)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/ob (2)/1434892054750.jpg'>","Sphagnum moss","Placeholder","Wet",,"-3.997422199999957,53.11575869999996"
"","5.0.2","","OBT bogs survey","","","6.702733998118905","","-1","MOTOROLA XT1068","","-23.715142505883584","54fad7bd-247c-464c-8a01-fb24e6577028.json","-176.48977954919002","2015-06-23T11:45:49.514Z","","","_agnfh3yfy","Simpson (24)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Simpson (24)/1435059930727.jpg'>","Bog cotton","Placeholder","Dry",,"-3.9401156999999825,52.61655039999993"
"","5.0.2","","OBT bogs survey","","","7.809793683796197","","-1","MOTOROLA XT1068","","-33.11430071897424","54fad7bd-247c-464c-8a01-fb24e6577028.json","8.30379821457477","2015-07-22T18:12:08.956Z","","","_pdlntlqt4","obt (63)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/obt (63)/1437588692705.jpg'>","Sphagnum moss","Placeholder","Wet",,"-2.4219759999999875,53.82556400000026"
"","5.0.2","","OBT bogs survey","","","-3.8322701597928837","","-1","MOTOROLA XT1068","","-33.662491701759464","54fad7bd-247c-464c-8a01-fb24e6577028.json","176.04730623437825","2015-06-18T10:30:34.192Z","","","_06a1dovl1","McArthur (1)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/McArthur (1)/1434623397821.jpg'>","Sphagnum moss","Placeholder","Dry",,"-3.9909623000000014,52.590329399999966"
"","5.0.2","","OBT bogs survey","","","7.504732676027687","","-1","MOTOROLA XT1068","","-42.435319860412655","54fad7bd-247c-464c-8a01-fb24e6577028.json","179.53238293762058","2015-06-13T14:24:15.353Z","","","_12hws7vgj","Scott (1)","Valley","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Scott (1)/1434205420827.jpg'>","Star moss","Placeholder","Wet",,"-2.4219759999999875,53.82556400000026"
"","5.0.2","","OBT bogs survey","","","-3.8047082120577667","","-1","MOTOROLA XT1068","","-39.632223885417766","54fad7bd-247c-464c-8a01-fb24e6577028.json","-52.4054084635828","2015-06-23T12:00:20.951Z","","","_tk498q8yj","simpson (19)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/simpson (19)/1435060786129.jpg'>","Star moss","Placeholder","Dry",,"-3.9332799999999946,52.61696240000006"
"","4.4.4","","OBT bogs survey","","","1.75503194155188","","-1","MOTOROLA XT1068","","-39.77665165051227","54fad7bd-247c-464c-8a01-fb24e6577028.json","34.0661592968018","2015-05-07T08:49:30.604Z","","","_d7pjsbu20","noa Hillary","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/noa Hillary/1430988375982.jpg'>","Bog cotton","793 133","Wet","Nothing else","-3.787282309999969,52.704433459999784"
"","5.0.2","","OBT bogs survey","","","-16.067769013002998","","-1","MOTOROLA XT1068","","-50.78050987513135","54fad7bd-247c-464c-8a01-fb24e6577028.json","144.07930250342892","2015-05-21T16:58:13.560Z","","","_agodf954w","obt test (2)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/obt test (2)/1432227477524.jpg'>","Star moss","Placeholder","Dry","Placeholder","-4.012416300000022,52.50609350000008"
"","5.0.2","","OBT bogs survey","","","3.329818392558297","","-1","MOTOROLA XT1068","","-48.283867412722","54fad7bd-247c-464c-8a01-fb24e6577028.json","34.33158386304308","2015-06-23T11:49:06.693Z","","","_ac6hhbczl","Simpson (17)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Simpson (17)/1435060134129.jpg'>","Bog cotton","Placeholder","Dry",,"-3.9375830999999955,52.61650740000018"
"","4.4.2","","OBT bogs survey","","",,"","-1","SAMSUNG SM-T230","",,"54fad7bd-247c-464c-8a01-fb24e6577028.json",,"2015-05-27T12:47:14.625Z","","","_x7kgyu6mo","Obt bonnington peebles","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Obt bonnington peebles/1432730721596.jpg'>","Common Rush","673096","Dry",,"-3.9382526,52.703774199999984"
"","5.0.2","","OBT bogs survey","","","10.17905909460033","","-1","MOTOROLA XT1068","","-36.819514419166076","54fad7bd-247c-464c-8a01-fb24e6577028.json","-125.03765034278214","2015-06-23T18:30:29.822Z","","","_oeliabr4a","simpson (10)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/simpson (10)/1435084189473.jpg'>","Other","Placeholder","Dry",,"-3.8892231,52.632558499999995"
"","5.0.2","","OBT bogs survey","","","23.21748297012541","","-1","MOTOROLA XT1068","","-32.834935736636965","54fad7bd-247c-464c-8a01-fb24e6577028.json","-169.57280599558308","2015-06-23T12:09:24.483Z","","","_fj3663xvz","Simpson (12)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Simpson (12)/1435061353206.jpg'>","Bog cotton","Placeholder","Dry",,"-3.931814100000005,52.61724749999999"
"","5.0.2","","OBT bogs survey","","","0.7117122215393813","","-1","MOTOROLA XT1068","","-8.013206108789285","54fad7bd-247c-464c-8a01-fb24e6577028.json","-125.52247083044799","2015-05-30T10:05:45.084Z","","","_d6t169ja2","obt (16)","Valley","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/obt (16)/1432980311533.jpg'>","Other","682963","Wet",,"-3.9458300000000315,52.54936510000011"
"","5.0.2","","OBT bogs survey","","","10.338086389045737","","-1","MOTOROLA XT1068","","-22.33302299148024","54fad7bd-247c-464c-8a01-fb24e6577028.json","166.77734617208026","2015-06-23T12:03:36.487Z","","","_k1h4bg9aw","Simpson (14)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Simpson (14)/1435061005755.jpg'>","Bog cotton","Placeholder","Dry",,"-3.933260400000042,52.61696589999994"
"","5.0.2","","OBT bogs survey","","","11.275060277124547","","-1","MOTOROLA XT1068","","-36.21984771570105","54fad7bd-247c-464c-8a01-fb24e6577028.json","-10.481543413504452","2015-07-22T18:22:32.907Z","","","_xey81uutf","obt (60)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/obt (60)/1437589319623.jpg'>","Other","Sun due","Wet",,"-2.4219759999999706,53.8255639999999"
"","5.0.2","","OBT bogs survey","","","9.351676445528017","","-1","MOTOROLA XT1068","","-32.54719011218808","54fad7bd-247c-464c-8a01-fb24e6577028.json","-46.8845187461373","2015-07-22T18:07:27.526Z","","","_ym3ilc4ih","obt (66)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/obt (66)/1437588420991.jpg'>","Sphagnum moss","Placeholder","Dry",,"-2.421976,53.82556399999999"
"","5.0.2","","OBT bogs survey","","","-0.7830370589166212","","-1","MOTOROLA XT1068","","-33.627316227533896","54fad7bd-247c-464c-8a01-fb24e6577028.json","-102.96187788865397","2015-05-21T16:56:29.440Z","","","_rq8830m29","obt test (4)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/obt test (4)/1432227371253.jpg'>","Star moss","Placeholder","Dry","Placeholder","-4.012416300000008,52.506093500000084"
"","5.0.2","","OBT bogs survey","","","2.2226929663102433","","-1","MOTOROLA XT1068","","-29.30206819977206","54fad7bd-247c-464c-8a01-fb24e6577028.json","-112.61019628002482","2015-07-07T12:08:22.602Z","","","_y7rylwnni","Tenzing","Valley","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Tenzing/1436270876449.jpg'>","Star moss","Placeholde","Wet",,"-4.09532679999999,52.60014770000021"
"","5.0.2","","OBT bogs survey","","","13.163232776002369","","-1","MOTOROLA XT1068","","-38.875852151825136","54fad7bd-247c-464c-8a01-fb24e6577028.json","152.09616873983967","2015-06-21T13:06:53.964Z","","","_8xc6zyq04","ob (3)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/ob (3)/1434892005325.jpg'>","Star moss","Placeholder","Dry",,"-3.9974405999999743,53.11574180000013"
"","5.0.2","","OBT bogs survey","","","13.124637084549919","","-1","MOTOROLA XT1068","","-30.7707637769999","54fad7bd-247c-464c-8a01-fb24e6577028.json","91.47375925188099","2015-06-23T12:02:38.963Z","","","_78nzwjdgq","Simpson (15)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Simpson (15)/1435060930953.jpg'>","Sphagnum moss","Placeholder","Wet",,"-3.933260400000042,52.61696589999994"
"","5.0.2","","OBT bogs survey","","","22.063964764600513","","-1","MOTOROLA XT1068","","-27.64125476911739","54fad7bd-247c-464c-8a01-fb24e6577028.json","152.30592384925077","2015-06-18T10:11:28.647Z","","","_n1rfamalt","McArthur (3)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/McArthur (3)/1434622242453.jpg'>","Sphagnum moss","Placeholder","Wet",,"-3.9859662999999594,52.59642150000011"
"","5.0.2","","OBT bogs survey","","","-7.83214633162871","","-1","MOTOROLA XT1068","","-16.392471083503526","54fad7bd-247c-464c-8a01-fb24e6577028.json","166.38100395492276","2015-06-11T13:49:37.035Z","","","_0ej6oxwd6","obt (26)","Valley","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/obt (26)/1434030550677.jpg'>","Star moss,Sphagnum moss","730115","Wet",,"-3.8789519999999618,52.687026900000255"
"","5.0.2","","OBT bogs survey","","","7.277895263502393","","-1","MOTOROLA XT1068","","-27.630227428702405","54fad7bd-247c-464c-8a01-fb24e6577028.json","-36.80847000327817","2015-07-22T18:10:03.873Z","","","_cndhfry43","obt (64)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/obt (64)/1437588577013.jpg'>","Other","Placeho lichen","Dry",,"-2.4219759999999915,53.825563999999815"
"","5.0.2","","OBT bogs survey","","","4.535212311716263","","-1","MOTOROLA XT1068","","-25.381092238794103","54fad7bd-247c-464c-8a01-fb24e6577028.json","163.42243921404005","2015-07-15T16:05:53.675Z","","","_u65k77mzi","Simpson (26)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Simpson (26)/1436976335694.jpg'>","Common Rush","Placeholder","Dry",,"-4.039633699999961,52.68019319999986"
"","5.0.2","","OBT bogs survey","","","7.57088988832843","","-1","MOTOROLA XT1068","","-51.09524499208554","54fad7bd-247c-464c-8a01-fb24e6577028.json","81.9991257409144","2015-06-18T10:16:00.160Z","","","_57gw0lv0u","McArthur (2)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/McArthur (2)/1434622549528.jpg'>","Other","Placeholder","Dry",,"-3.9859662999999594,52.59642150000011"
"","5.0.2","","OBT bogs survey","","","5.639078030182928","","-1","MOTOROLA XT1068","","-9.378488353114903","54fad7bd-247c-464c-8a01-fb24e6577028.json","16.379135139149078","2015-06-01T00:42:48.702Z","","","_111ne9jnv","obt (81)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/obt (81)/1433119359002.jpg'>","Bog cotton","Placeholder","Wet",,"-3.8262779999999754,52.70486429999982"
"","5.0.2","","OBT bogs survey","","","-3.7429880613965927","","-1","MOTOROLA XT1068","","-42.522155470425616","54fad7bd-247c-464c-8a01-fb24e6577028.json","-52.26628775547339","2015-05-27T12:28:00.478Z","","","_etnrm34pk","outward bound","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/outward bound/1432729635815.jpg'>","Star moss","Placeholder","Wet",,"-3.9567756,52.69087520000001"
"","5.0.2","","OBT bogs survey","","","-32.61571740013082","","-1","MOTOROLA XT1068","","-7.494395184718872","54fad7bd-247c-464c-8a01-fb24e6577028.json","84.19301665326834","2015-06-21T11:33:16.896Z","","","_biraqdl6f","Andy (71)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Andy (71)/1434886385811.jpg'>","Sphagnum moss","Placeholder","Wet",,"-3.9961538999999657,53.1198427000002"
"","5.0.2","","OBT bogs survey","","","4.6212517778040905","","-1","MOTOROLA XT1068","","-32.98973855908072","54fad7bd-247c-464c-8a01-fb24e6577028.json","8.064108093578806","2015-05-26T12:04:54.301Z","","","_izjrkhbb9","churchil",,"<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/churchil/1432641802523.jpg'>",,"Placeholder",,,"-3.955211400000043,52.68631059999989"
"","5.0.2","","OBT bogs survey","","","-2.0934307824941056","","-1","MOTOROLA XT1068","","-44.980873307468464","54fad7bd-247c-464c-8a01-fb24e6577028.json","143.86783984672533","2015-07-15T15:33:31.876Z","","","_bk7a3n58w","Simpson (33)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Simpson (33)/1436974383763.jpg'>","Other","Placeholder","Dry",,"-4.04316099999998,52.681091500000164"
"","5.0.2","","OBT bogs survey","","","-4.271782587599449","","-1","MOTOROLA XT1068","","-3.3928697897773885","54fad7bd-247c-464c-8a01-fb24e6577028.json","-146.5241413960783","2015-06-18T11:41:13.144Z","","","_75h9x6s41","MacArthur (1)","Valley","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/MacArthur (1)/1434627618701.jpg'>","Bog cotton","Placeholder","Dry",,"-3.9910289999999584,52.59011280000008"
"","5.0.2","","OBT bogs survey","","","6.115503361585181","","-1","MOTOROLA XT1068","","-17.492790653130488","54fad7bd-247c-464c-8a01-fb24e6577028.json","88.18681950627156","2015-06-01T00:41:34.833Z","","","_qjol96wi3","obt (82)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/obt (82)/1433119283603.jpg'>","Sphagnum moss","Placeholder","Wet",,"-3.8262719999999715,52.70487060000019"
"","5.0.2","","OBT bogs survey","","","17.071021349240322","","-1","MOTOROLA XT1068","","-42.01071773556423","54fad7bd-247c-464c-8a01-fb24e6577028.json","121.41811453553895","2015-07-08T11:38:50.179Z","","","_1vyulvt3r","tenzington","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/tenzington/1436355463938.jpg'>","Other","Placeholder","Wet",,"-3.8991405000000117,52.69214059999977"
"","5.0.2","","OBT bogs survey","","","9.207850590854122","","-1","MOTOROLA XT1068","","-26.507841225414428","54fad7bd-247c-464c-8a01-fb24e6577028.json","78.56584236214829","2015-07-09T12:32:18.367Z","","","_use9uq6d4","St Chris Simpsons ","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/St Chris Simpsons /1436445126705.jpg'>","Star moss,Sphagnum moss","Placeholder","Dry",,"-4.046279299999977,52.730735000000195"
"","5.0.2","","OBT bogs survey","","","-1.9910761289132333","","-1","MOTOROLA XT1068","","-10.761795466660185","54fad7bd-247c-464c-8a01-fb24e6577028.json","-127.63519860489468","2015-07-15T15:47:39.554Z","","","_ndoznq91d","Simpson (30)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Simpson (30)/1436975233358.jpg'>","Star moss","Placeholder","Wet",,"-4.040582300000022,52.68078640000028"
"","5.0.2","","OBT bogs survey","","","-7.523820493436934","","-1","MOTOROLA XT1068","","-17.2501447677712","54fad7bd-247c-464c-8a01-fb24e6577028.json","-82.87817108709504","2015-06-21T13:26:28.017Z","","","_yl2cx1583","Andy P (1)",,"<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Andy P (1)/1434893150024.jpg'>","Other","Placeholder","Dry",,"-3.9974944,53.11570290000002"
"","5.0.2","","OBT bogs survey","","","-7.346046037267134","","-1","MOTOROLA XT1068","","-42.04866626659282","54fad7bd-247c-464c-8a01-fb24e6577028.json","145.8052776463128","2015-07-15T17:00:04.505Z","","","_39rvpsylw","simpson (21)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/simpson (21)/1436979340184.jpg'>","Common Rush","Mount pen y garn summit","Dry",,"-4.038613100000014,52.67800729999975"
"","5.0.2","","OBT bogs survey","","","-1.3478873533351818","","-1","MOTOROLA XT1068","","-49.34323658318015","54fad7bd-247c-464c-8a01-fb24e6577028.json","142.76240105031545","2015-07-08T10:27:39.947Z","","","_utfbqcfbu","Mac Arthur (1)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Mac Arthur (1)/1436351184304.jpg'>","Other","Placeholder","Wet",,"-2.421976,53.825563999999986"
"","4.4.4","","OBT bogs survey","","","16.80076613170855","","-1","MOTOROLA XT1068","","-43.61213071855459","54fad7bd-247c-464c-8a01-fb24e6577028.json","-101.28098199429218","2015-05-07T10:34:12.024Z","","","_798qlx5rq","Hillary noa","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Hillary noa/1430989780575.jpg'>",,"","Wet","No extra","-3.786974499999973,52.72119465999982"
"","5.0.2","","OBT bogs survey","","","15.62210087720696","","-1","MOTOROLA XT1068","","-28.71001374213701","54fad7bd-247c-464c-8a01-fb24e6577028.json","120.22233965716647","2015-06-23T18:34:18.221Z","","","_o8wyjixme","Simpson (5)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/Simpson (5)/1435084406444.jpg'>","Other","Placeholder","Dry",,"-3.8894563000000053,52.63232440000024"
"","4.4.2","","OBT bogs survey","","",,"","-1","SAMSUNG SM-T230","",,"54fad7bd-247c-464c-8a01-fb24e6577028.json",,"2015-09-27T09:47:26.301Z","","","_l03so1bk2","st Thomas More Catholic school ","Valley","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/st Thomas More Catholic school /1443347160338.jpg'>","Star moss","Placeholder","Dry",,"-2.4219760000000123,53.8255639999998"
"","5.0.2","","OBT bogs survey","","","18.58559530712314","","-1","MOTOROLA XT1068","","-42.27233788643781","54fad7bd-247c-464c-8a01-fb24e6577028.json","12.765101903055973","2015-06-23T11:52:08.310Z","","","_ltgiauhsz","simpson (20)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/simpson (20)/1435060314718.jpg'>","Common Rush","Placeholder","Dry",,"-3.9373574000000064,52.616485199999744"
"","5.0.2","","OBT bogs survey","","","7.920740715352945","","-1","MOTOROLA XT1068","","-17.787424523357327","54fad7bd-247c-464c-8a01-fb24e6577028.json","35.06632780262886","2015-06-01T00:54:44.425Z","","","_9hd0iibkv","obt (80)","Mountain","<img src='https://dyfi.cobwebproject.eu/1.3/pcapi/records/local/2338e388-f34e-25d9-945c-54cffd9c46c2/obt (80)/1433120073987.jpg'>","Bog cotton","Placeholder","Wet",,"-3.826254400000022,52.70477750000018"
